Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,usage_constant_2,usage_constant_2_unit,lifespan,lifespan_units,CO2_emissions_factor,CO2_emissions_factor_unit,location_name
0,1.214,G$/GWp,7.51E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0004057,MtCO2e/GWh,SG
1,1.34,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000451,MtCO2e/GWh,ID
2,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0004251,MtCO2e/GWh,MY
3,0.5,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000916,MtCO2e/GWh,BN
4,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000516,MtCO2e/GWh,KH
5,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000433,MtCO2e/GWh,MM
6,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000746,MtCO2e/GWh,PH
7,0.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.005034,MtCO2e/GWh,TH
8,15,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0000156,MtCO2e/GWh,VN
9,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0005595,MtCO2e/GWh,LA
10,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.00056375,MtCO2e/GWh,AU
11,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000568,MtCO2e/GWh,SA
12,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.00096398,MtCO2e/GWh,IN
13,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000413675,MtCO2e/GWh,AE
