Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,AE,AE,0,720,382,383,384,385,386,387,388,389,390,391,392
1,RE_PV_Openfield_Lim,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
2,RE_WIND_Onshore_Lim,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
3,PP_CO2,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
4,BESS,AE,AE,0,720,0,0,0,0,0,0,0,0,0,0,0
5,EL_to_HTH,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
6,EL_to_NH3,AE,AE,0,720,0,0,0,0,0,0,0,0,0,0,0
7,NH3_Storage,AE,AE,0,720,0,0,0,0,0,0,0,0,0,0,0
8,NH3_to_EL,AE,AE,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_to_HTH,AE,AE,0,720,0,0,0,0,0,0,0,0,0,0,0
10,FF_to_HTH,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
11,EL_Demand,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
12,HTH_Demand,AE,AE,0,720,13,13,13,13,13,13,13,13,13,13,13
