Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU ,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,AU,AU,0,720,349,350,351,352,353,354,355,356,357,358,359
1,RE_PV_Openfield_Lim,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
2,RE_WIND_Onshore_Lim,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
3,PP_CO2,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
4,BESS,AU,AU,0,720,0,0,0,0,0,0,0,0,0,0,0
5,EL_to_HTH,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
6,EL_to_NH3,AU,AU,0,720,0,0,0,0,0,0,0,0,0,0,0
7,NH3_Storage,AU,AU,0,720,0,0,0,0,0,0,0,0,0,0,0
8,NH3_to_EL,AU,AU,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_to_HTH,AU,AU,0,720,0,0,0,0,0,0,0,0,0,0,0
10,FF_to_HTH,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
11,EL_Demand,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
12,HTH_Demand,AU,AU,0,720,10,10,10,10,10,10,10,10,10,10,10
