Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,BN,BN,0,720,624,625,626,627,628,629,630,631,632,633,634
1,RE_PV_Rooftop_Lim,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
2,RE_PV_Openfield_Lim,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
3,RE_WIND_Offshore_Lim,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
4,RE_WIND_Onshore_Lim,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
5,PP_CO2,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
6,BESS,BN,BN,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
8,EL_to_NH3,BN,BN,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,BN,BN,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,BN,BN,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,BN,BN,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
13,EL_Demand,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
14,HTH_Demand,BN,BN,0,720,3,3,3,3,3,3,3,3,3,3,3
