Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,IN,IN,0,720,360,361,362,363,364,365,366,367,368,369,370
1,RE_PV_Openfield_Lim,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
2,RE_WIND_Onshore_Lim,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
3,PP_CO2,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
4,BESS,IN,IN,0,720,0,0,0,0,0,0,0,0,0,0,0
5,EL_to_HTH,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
6,EL_to_NH3,IN,IN,0,720,0,0,0,0,0,0,0,0,0,0,0
7,NH3_Storage,IN,IN,0,720,0,0,0,0,0,0,0,0,0,0,0
8,NH3_to_EL,IN,IN,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_to_HTH,IN,IN,0,720,0,0,0,0,0,0,0,0,0,0,0
10,FF_to_HTH,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
11,EL_Demand,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
12,HTH_Demand,IN,IN,0,720,12,12,12,12,12,12,12,12,12,12,12
