Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,KH,KH,0,720,154,155,156,157,158,159,160,161,162,163,164
1,RE_PV_Rooftop_Lim,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
2,RE_PV_Openfield_Lim,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
3,RE_WIND_Offshore_Lim,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
4,RE_WIND_Onshore_Lim,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
5,PP_CO2,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
6,BESS,KH,KH,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
8,EL_to_NH3,KH,KH,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,KH,KH,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,KH,KH,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,KH,KH,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
13,EL_Demand,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
14,HTH_Demand,KH,KH,0,720,4,4,4,4,4,4,4,4,4,4,4
