Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,SG,SG,0,720,1,0,330,330,330,330,330,330,330,330,330,330,330
1,BESS,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
2,EL_to_HTH,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
3,EL_to_NH3,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
4,EL_to_NH3,MY,MY,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
5,NH3_Storage,SG,SG,0,720,1,0,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive
6,NH3_to_EL,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
7,NH3_to_EL,MY,MY,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
8,NH3_to_HTH,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
9,EL_Demand,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
10,HTH_Demand,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
11,EL_Transport,SG,MY,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
12,NH3_Transport,SG,MY,0,720,96,108,0,0,0,0,0,0,0,0,0,0,0
13,EL_to_H2,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
14,EL_to_LTH,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
15,RE_Compiled,MY,MY,0,720,1,0,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT,Offshore_WINDOUT
16,RE_Compiled,MY,MY,0,720,1,0,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT,Openfield_PVOUT
17,PP_CO2,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
18,EL_to_Cooling,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
19,H2_Storage,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
20,NG_Storage,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
21,H2_to_EL,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
22,H2_to_EL,MY,MY,0,720,1,0,1,1,1,1,1,1,1,1,1,1,1
23,NG_to_EL,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
24,NG_to_EL,MY,MY,0,720,1,0,1,1,1,1,1,1,1,1,1,1,1
25,SW_to_EL,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
26,SW_to_EL,MY,MY,0,720,1,0,1,1,1,1,1,1,1,1,1,1,1
27,Biofuel_to_EL,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Biofuel_to_EL,MY,MY,0,720,1,0,1,1,1,1,1,1,1,1,1,1,1
29,Cooling_Demand,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
30,LTH_Demand,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
31,EL_to_LTH,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
32,RE_Compiled,SG,SG,0,720,1,0,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT,Floating_PVOUT
33,Diesel_Storage,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Gasoline_Storage,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
35,Gasoline_Transport,SG,MY,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Diesel_Transport,SG,MY,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
37,BESS,MY,MY,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Gasoline_to_PT,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Gasoline_to_GT,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Diesel_to_GT,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Diesel_to_PT,SG,SG,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0
