Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,LA,LA,0,720,165,166,167,168,169,170,171,172,173,174,175
1,RE_PV_Rooftop_Lim,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
2,RE_PV_Openfield_Lim,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
3,RE_WIND_Onshore_Lim,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
4,PP_CO2,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
5,BESS,LA,LA,0,720,0,0,0,0,0,0,0,0,0,0,0
6,EL_to_HTH,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
7,EL_to_NH3,LA,LA,0,720,0,0,0,0,0,0,0,0,0,0,0
8,NH3_Storage,LA,LA,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_to_EL,LA,LA,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_HTH,LA,LA,0,720,0,0,0,0,0,0,0,0,0,0,0
11,FF_to_HTH,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
12,EL_Demand,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
13,HTH_Demand,LA,LA,0,720,9,9,9,9,9,9,9,9,9,9,9
