Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,MY,MY,0,720,22,23,24,25,26,27,28,29,30,31,32
1,RE_PV_Rooftop_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
2,RE_PV_Openfield_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
3,RE_WIND_Offshore_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
4,RE_WIND_Onshore_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
5,PP_CO2,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
6,BESS,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
8,EL_to_NH3,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
13,EL_Demand,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
14,HTH_Demand,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
