Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,PH,PH,0,720,121,122,123,124,125,126,127,128,129,130,131
1,RE_PV_Rooftop_Lim,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
2,RE_PV_Openfield_Lim,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
3,RE_WIND_Offshore_Lim,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
4,RE_WIND_Onshore_Lim,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
5,PP_CO2,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
6,BESS,PH,PH,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
8,EL_to_NH3,PH,PH,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,PH,PH,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,PH,PH,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,PH,PH,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
13,EL_Demand,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
14,HTH_Demand,PH,PH,0,720,6,6,6,6,6,6,6,6,6,6,6
