Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,SA,SA,0,720,371,372,373,374,375,376,377,378,379,380,381
1,RE_PV_Openfield_Lim,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
2,RE_WIND_Onshore_Lim,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
3,PP_CO2,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
4,BESS,SA,SA,0,720,0,0,0,0,0,0,0,0,0,0,0
5,EL_to_HTH,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
6,EL_to_NH3,SA,SA,0,720,0,0,0,0,0,0,0,0,0,0,0
7,NH3_Storage,SA,SA,0,720,0,0,0,0,0,0,0,0,0,0,0
8,NH3_to_EL,SA,SA,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_to_HTH,SA,SA,0,720,0,0,0,0,0,0,0,0,0,0,0
10,FF_to_HTH,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
11,EL_Demand,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
12,HTH_Demand,SA,SA,0,720,11,11,11,11,11,11,11,11,11,11,11
