Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,TH,TH,0,720,143,144,145,146,147,148,149,150,151,152,153
1,RE_PV_Rooftop_Lim,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
2,RE_PV_Openfield_Lim,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
3,RE_WIND_Offshore_Lim,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
4,RE_WIND_Onshore_Lim,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
5,PP_CO2,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
6,BESS,TH,TH,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
8,EL_to_NH3,TH,TH,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,TH,TH,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,TH,TH,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,TH,TH,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
13,EL_Demand,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
14,HTH_Demand,TH,TH,0,720,7,7,7,7,7,7,7,7,7,7,7
