country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
TH,,,,55.7,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,55.7,2.9,RE_PV_Openfield_Lim_[TH]
TH,,,,55.7,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,55.7,9.7,RE_WIND_Onshore_Lim_[TH]
TH,,,,55.7,0.3,PP_CO2_[TH]
TH,,,,55.7,2.0,BESS_[TH]
TH,,,,55.7,0.4,EL_to_HTH_[TH]
TH,,,,55.7,0.1,EL_to_NH3_[TH]
TH,,,,55.7,0.3,NH3_Storage_[TH]
TH,,,,55.7,0.0,NH3_to_EL_[TH]
TH,,,,55.7,0.0,NH3_to_HTH_[TH]
TH,,,,55.7,1.5,FF_to_HTH_[TH]
TH,,,,55.7,0.0,EL_Demand_[TH]
TH,,,,55.7,0.0,HTH_Demand_[TH]
TH,,,,27.8,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,27.8,3.0,RE_PV_Openfield_Lim_[TH]
TH,,,,27.8,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,27.8,10.0,RE_WIND_Onshore_Lim_[TH]
TH,,,,27.8,0.1,PP_CO2_[TH]
TH,,,,27.8,2.1,BESS_[TH]
TH,,,,27.8,0.4,EL_to_HTH_[TH]
TH,,,,27.8,0.2,EL_to_NH3_[TH]
TH,,,,27.8,1.2,NH3_Storage_[TH]
TH,,,,27.8,0.2,NH3_to_EL_[TH]
TH,,,,27.8,0.0,NH3_to_HTH_[TH]
TH,,,,27.8,1.4,FF_to_HTH_[TH]
TH,,,,27.8,0.0,EL_Demand_[TH]
TH,,,,27.8,0.0,HTH_Demand_[TH]
TH,,,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,0.0,4.2,RE_PV_Openfield_Lim_[TH]
TH,,,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,0.0,13.1,RE_WIND_Onshore_Lim_[TH]
TH,,,,0.0,0.0,PP_CO2_[TH]
TH,,,,0.0,2.6,BESS_[TH]
TH,,,,0.0,0.4,EL_to_HTH_[TH]
TH,,,,0.0,0.4,EL_to_NH3_[TH]
TH,,,,0.0,3.7,NH3_Storage_[TH]
TH,,,,0.0,0.3,NH3_to_EL_[TH]
TH,,,,0.0,0.1,NH3_to_HTH_[TH]
TH,,,,0.0,0.0,FF_to_HTH_[TH]
TH,,,,0.0,0.0,EL_Demand_[TH]
TH,,,,0.0,0.0,HTH_Demand_[TH]
TH,,,,8.2,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,8.2,3.4,RE_PV_Openfield_Lim_[TH]
TH,,,,8.2,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,8.2,9.9,RE_WIND_Onshore_Lim_[TH]
TH,,,,8.2,0.0,PP_CO2_[TH]
TH,,,,8.2,2.3,BESS_[TH]
