Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,VN,VN,0,720,132,133,134,135,136,137,138,139,140,141,142
1,RE_PV_Rooftop_Lim,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
2,RE_PV_Openfield_Lim,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
3,RE_WIND_Offshore_Lim,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
4,RE_WIND_Onshore_Lim,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
5,PP_CO2,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
6,BESS,VN,VN,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
8,EL_to_NH3,VN,VN,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,VN,VN,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,VN,VN,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,VN,VN,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
13,EL_Demand,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
14,HTH_Demand,VN,VN,0,720,8,8,8,8,8,8,8,8,8,8,8
