country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,0.0,3.5,RE_PV_Openfield_Lim_[VN]
VN,,,,0.0,0.5,RE_WIND_Offshore_Lim_[VN]
VN,,,,0.0,10.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,0.0,0.0,PP_CO2_[VN]
VN,,,,0.0,2.4,BESS_[VN]
VN,,,,0.0,0.5,EL_to_HTH_[VN]
VN,,,,0.0,1.2,EL_to_NH3_[VN]
VN,,,,0.0,5.8,NH3_Storage_[VN]
VN,,,,0.0,0.3,NH3_to_EL_[VN]
VN,,,,0.0,0.1,NH3_to_HTH_[VN]
VN,,,,0.0,0.0,FF_to_HTH_[VN]
VN,,,,0.0,0.0,EL_Demand_[VN]
VN,,,,0.0,0.0,HTH_Demand_[VN]
VN,,,,10.5,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,10.5,2.1,RE_PV_Openfield_Lim_[VN]
VN,,,,10.5,1.1,RE_WIND_Offshore_Lim_[VN]
VN,,,,10.5,10.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,10.5,0.0,PP_CO2_[VN]
VN,,,,10.5,1.8,BESS_[VN]
VN,,,,10.5,0.5,EL_to_HTH_[VN]
VN,,,,10.5,0.2,EL_to_NH3_[VN]
VN,,,,10.5,0.8,NH3_Storage_[VN]
VN,,,,10.5,0.4,NH3_to_EL_[VN]
VN,,,,10.5,0.0,NH3_to_HTH_[VN]
VN,,,,10.5,1.4,FF_to_HTH_[VN]
VN,,,,10.5,0.0,EL_Demand_[VN]
VN,,,,10.5,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
VN,,,,18.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,18.8,1.3,RE_PV_Openfield_Lim_[VN]
VN,,,,18.8,0.2,RE_WIND_Offshore_Lim_[VN]
VN,,,,18.8,9.4,RE_WIND_Onshore_Lim_[VN]
VN,,,,18.8,0.0,PP_CO2_[VN]
VN,,,,18.8,1.5,BESS_[VN]
VN,,,,18.8,0.5,EL_to_HTH_[VN]
VN,,,,18.8,0.4,EL_to_NH3_[VN]
VN,,,,18.8,1.5,NH3_Storage_[VN]
VN,,,,18.8,0.5,NH3_to_EL_[VN]
VN,,,,18.8,0.0,NH3_to_HTH_[VN]
VN,,,,18.8,2.3,FF_to_HTH_[VN]
VN,,,,18.8,0.0,EL_Demand_[VN]
VN,,,,18.8,0.0,HTH_Demand_[VN]
