Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,ID,ID,0,720,88,89,90,91,92,93,94,95,96,97,98
1,RE_PV_Rooftop_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
2,RE_PV_Openfield_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
3,RE_WIND_Onshore_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
4,RE_WIND_Offshore_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
5,PP_CO2,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
6,BESS,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
8,EL_to_NH3,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
13,EL_Demand,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
14,HTH_Demand,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
15,RE_PV_Rooftop_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
16,RE_PV_Openfield_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
17,RE_WIND_Onshore_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
18,RE_WIND_Offshore_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
19,PP_CO2,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
20,BESS,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
22,EL_to_NH3,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
27,EL_Demand,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
28,HTH_Demand,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
29,NH3_Transport,ID,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
30,EL_Transport,ID,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
