Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,2,2,0,720,308,309,310,311,312,313,314,315,316,317,318
1,RE_PV_Rooftop_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
2,RE_PV_Openfield_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
3,RE_WIND_Onshore_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
4,RE_WIND_Offshore_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
5,PP_CO2,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
6,BESS,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
8,EL_to_NH3,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
13,EL_Demand,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
14,HTH_Demand,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
15,RE_PV_Rooftop_Lim,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
16,RE_PV_Openfield_Lim,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
17,RE_WIND_Onshore_Lim,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
18,RE_WIND_Offshore_Lim,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
19,PP_CO2,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
20,BESS,6,6,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
22,EL_to_NH3,6,6,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,6,6,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,6,6,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,6,6,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
27,EL_Demand,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
28,HTH_Demand,6,6,0,720,6,6,6,6,6,6,6,6,6,6,6
