Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,3,3,0,720,646,647,648,649,650,651,652,653,654,655,656
1,RE_PV_Rooftop_Lim,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
2,RE_PV_Openfield_Lim,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
3,RE_WIND_Offshore_Lim,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
4,RE_WIND_Onshore_Lim,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
5,PP_CO2,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
6,BESS,3,3,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
8,EL_to_NH3,3,3,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,3,3,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,3,3,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,3,3,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
13,EL_Demand,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
14,HTH_Demand,3,3,0,720,3,3,3,3,3,3,3,3,3,3,3
15,RE_PV_Rooftop_Lim,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
16,RE_PV_Openfield_Lim,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
17,RE_WIND_Offshore_Lim,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
18,RE_WIND_Onshore_Lim,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
19,PP_CO2,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
20,BESS,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
22,EL_to_NH3,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
27,EL_Demand,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
28,HTH_Demand,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0
29,NH3_Transport,1,3,0,720,0,0,0,0,0,0,0,0,0,0,0
30,EL_Transport,1,3,0,720,0,0,0,0,0,0,0,0,0,0,0
31,RE_PV_Rooftop_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
32,RE_PV_Openfield_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
33,RE_WIND_Offshore_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
34,RE_WIND_Onshore_Lim,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
35,PP_CO2,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
36,BESS,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
37,EL_to_HTH,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
38,EL_to_NH3,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
39,NH3_Storage,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
40,NH3_to_EL,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
41,NH3_to_HTH,2,2,0,720,0,0,0,0,0,0,0,0,0,0,0
42,FF_to_HTH,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
43,EL_Demand,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
44,HTH_Demand,2,2,0,720,2,2,2,2,2,2,2,2,2,2,2
45,NH3_Transport,1,2,0,720,0,0,0,0,0,0,0,0,0,0,0
46,EL_Transport,1,2,0,720,0,0,0,0,0,0,0,0,0,0,0
47,NH3_Transport,2,3,0,720,0,0,0,0,0,0,0,0,0,0,0
48,EL_Transport,2,3,0,720,0,0,0,0,0,0,0,0,0,0,0
