Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,SG,SG,0,720,66,67,68,69,70,71,72,73,74,75,76
1,RE_PV_Rooftop_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
2,RE_PV_Openfield_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
3,RE_WIND_Onshore_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
4,RE_WIND_Offshore_Lim,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
5,PP_CO2,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
6,BESS,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
8,EL_to_NH3,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,SG,SG,0,720,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive
10,NH3_to_EL,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
13,EL_Demand,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
14,HTH_Demand,SG,SG,0,720,0,0,0,0,0,0,0,0,0,0,0
15,RE_PV_Rooftop_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
16,RE_PV_Openfield_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
17,RE_WIND_Onshore_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
18,RE_WIND_Offshore_Lim,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
19,PP_CO2,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
20,BESS,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
22,EL_to_NH3,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,MY,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
27,EL_Demand,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
28,HTH_Demand,MY,MY,0,720,2,2,2,2,2,2,2,2,2,2,2
29,NH3_Transport,SG,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
30,EL_Transport,SG,MY,0,720,0,0,0,0,0,0,0,0,0,0,0
