Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,7,7,0,720,481,482,483,484,485,486,487,488,489,490,491
1,RE_PV_Rooftop_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
2,RE_PV_Openfield_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
3,RE_WIND_Onshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
4,RE_WIND_Offshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
5,PP_CO2,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
6,BESS,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
8,EL_to_NH3,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
13,EL_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
14,HTH_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
15,RE_PV_Rooftop_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
16,RE_PV_Openfield_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
17,RE_WIND_Onshore_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
18,RE_WIND_Offshore_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
19,PP_CO2,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
20,BESS,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
22,EL_to_NH3,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
27,EL_Demand,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
28,HTH_Demand,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
