Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,7,7,0,720,470,471,472,473,474,475,476,477,478,479,480
1,RE_PV_Rooftop_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
2,RE_PV_Openfield_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
3,RE_WIND_Onshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
4,RE_WIND_Offshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
5,PP_CO2,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
6,BESS,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
8,EL_to_NH3,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
13,EL_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
14,HTH_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
15,RE_PV_Rooftop_Lim,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
16,RE_PV_Openfield_Lim,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
17,RE_WIND_Onshore_Lim,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
18,RE_WIND_Offshore_Lim,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
19,PP_CO2,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
20,BESS,9,9,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
22,EL_to_NH3,9,9,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,9,9,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,9,9,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,9,9,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
27,EL_Demand,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
28,HTH_Demand,9,9,0,720,9,9,9,9,9,9,9,9,9,9,9
29,NH3_Transport,7,9,0,720,0,0,0,0,0,0,0,0,0,0,0
30,EL_Transport,7,9,0,720,0,0,0,0,0,0,0,0,0,0,0
