Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,SG,SG,0,360,66,67,68,69,70,71,72,73,74,75,76
1,RE_PV_Rooftop_Lim,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
2,PP_CO2,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
3,BESS,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
4,EL_to_HTH,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
5,EL_to_NH3,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
6,NH3_to_EL,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
7,NH3_to_HTH,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
8,FF_to_HTH,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
9,EL_Demand,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
10,HTH_Demand,SG,SG,0,360,0,0,0,0,0,0,0,0,0,0,0
