Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,8,8,0,720,536,537,538,539,540,541,542,543,544,545,546
1,RE_PV_Rooftop_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
2,RE_PV_Openfield_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
3,RE_WIND_Onshore_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
4,RE_WIND_Offshore_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
5,PP_CO2,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
6,BESS,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
8,EL_to_NH3,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
13,EL_Demand,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
14,HTH_Demand,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
15,RE_PV_Rooftop_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
16,RE_PV_Openfield_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
17,RE_WIND_Onshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
18,RE_WIND_Offshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
19,PP_CO2,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
20,BESS,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
22,EL_to_NH3,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
27,EL_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
28,HTH_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
29,RE_PV_Rooftop_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
30,RE_PV_Openfield_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
31,RE_WIND_Onshore_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
32,RE_WIND_Offshore_Lim,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
33,PP_CO2,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
34,BESS,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
35,EL_to_HTH,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
36,EL_to_NH3,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
37,NH3_Storage,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
38,NH3_to_EL,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
39,NH3_to_HTH,4,4,0,720,0,0,0,0,0,0,0,0,0,0,0
40,FF_to_HTH,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
41,EL_Demand,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
42,HTH_Demand,4,4,0,720,4,4,4,4,4,4,4,4,4,4,4
43,NH3_Transport,8,7,0,720,0,0,0,0,0,0,0,0,0,0,0
44,EL_Transport,8,7,0,720,0,0,0,0,0,0,0,0,0,0,0
45,NH3_Transport,8,4,0,720,0,0,0,0,0,0,0,0,0,0,0
46,EL_Transport,8,4,0,720,0,0,0,0,0,0,0,0,0,0,0
47,NH3_Transport,7,4,0,720,0,0,0,0,0,0,0,0,0,0,0
48,EL_Transport,7,4,0,720,0,0,0,0,0,0,0,0,0,0,0
