Location,lat,lon
SG,1.28057,103.86515
ID,-6.16065,106.92865
MY,3.15839,101.68596
BN,4.8928,114.92675
KH,11.53412,104.9155
MM,16.8886,96.1656
PH,14.59466,120.98968
TH,13.78118,100.58329
VN,10.76226,106.62206
LA,17.97899,102.63012
AU,-20.73402,116.83925
SA,26.41963,50.10169
IN,13.12489,80.28511
AE,25.2048,56.32768
0,1.28057,103.86515
1,-6.16065,106.92865
2,3.15839,101.68596
3,4.8928,114.92675
4,11.53412,104.9155
5,16.8886,96.1656
6,14.59466,120.98968
7,13.78118,100.58329
8,10.76226,106.62206
9,17.97899,102.63012
10,-20.73402,116.83925
11,26.41963,50.10169
12,13.12489,80.28511
13,25.2048,56.32768
