Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,8,8,0,720,393,394,395,396,397,398,399,400,401,402,403
1,RE_PV_Rooftop_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
2,RE_PV_Openfield_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
3,RE_WIND_Onshore_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
4,RE_WIND_Offshore_Lim,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
5,PP_CO2,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
6,BESS,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
8,EL_to_NH3,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
10,NH3_to_EL,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,8,8,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
13,EL_Demand,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
14,HTH_Demand,8,8,0,720,8,8,8,8,8,8,8,8,8,8,8
15,RE_PV_Rooftop_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
16,RE_PV_Openfield_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
17,RE_WIND_Onshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
18,RE_WIND_Offshore_Lim,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
19,PP_CO2,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
20,BESS,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
21,EL_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
22,EL_to_NH3,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
23,NH3_Storage,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
24,NH3_to_EL,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
25,NH3_to_HTH,7,7,0,720,0,0,0,0,0,0,0,0,0,0,0
26,FF_to_HTH,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
27,EL_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
28,HTH_Demand,7,7,0,720,7,7,7,7,7,7,7,7,7,7,7
